Site,Location,Latitude,Longitude
Adams,New Zealand,-50.9027,166.0018
Admiralty,Antarctica,-62.1778,-58.4447
Aiktak,USA,54.1886,-164.84
Alcatraz,USA,37.82667,-122.42333
Amsterdam,France,-37.816667,77.53333
Anacapa,USA,34.003889,-119.394722
Antipodes,New Zealand,-49.6699,178.8052
Bird,South Georgia,-54.005556,-38.05
Buldir,USA,52.358056,175.924722
Cape Lisburne,USA,68.88111,-166.21
Cape Peirce,USA,58.55278,-161.769
Cape Shirreff,Antarctica,-62.459,-60.7902
Chowiet,USA,56.03423,-156.70116
Crozet,France,-46.416667,51.83333
Dassen,South Africa,-33.423402,18.087127
East Amatuli,USA,58.917292,-151.98619
Eastern Egg Rock,USA,43.860674,-69.382523
Foula,United Kingdom,60.13333,-2.06667
Hirakimata,New Zealand,-36.1862,175.4126
Hornoya,Norway,70.3877,31.1553
Ihumoana,New Zealand,-36.891415,174.439632
Isle of May,United Kingdom,56.185833,-2.5575
Jenny,USA,43.765036,-69.908587
Kaikoura,New Zealand,-42.4,173.68
Karlso,Sweden,57.283611,17.971944
Kauwahaia,New Zealand,-36.886544,174.437072
Kerguelen,France,-48.4,68.36667
Lamberts,South Africa,-32.083333,18.3
Malgas,South Africa,-33.052778,17.925278
Matinicus Rock,USA,43.785579,-68.85362
Middleton,USA,59.4382,-146.3266
Oamaru,New Zealand,-45.110212,170.979431
Outer Green,USA,43.6503,-70.123614
Pelsaert,Australia,-28.9,113.9
Penguin,Australia,-32.305278,115.691111
Phillip,Australia,-38.483333,145.233333
Pointe Geologie,Antarctica,-66.66667,140.016667
Pond,USA,43.733948,-69.971365
Punta Tombo,Argentina,-44.045529,-65.223237
Rangatira,New Zealand,-44.3465,-176.1721
Rasa,Mexico,28.823922,-112.980286
Robben,South Africa,-33.804734,18.366222
Rost,Norway,67.47,11.98
Santa Barbara,USA,33.476989,-119.037722
Seal,USA,43.887569,-68.740829
SE Farallon,USA,37.72493,-123.030278
Signy,Antarctica,-60.717,-45.6
St. George,USA,56.57429,-169.613
St. Lazaria,USA,56.987222,-135.704722
St. Paul,USA,57.20436,-170.283
Stratton,USA,43.505025,-70.312225
Tern,USA,23.87,-166.284
Teuri,Japan,44.416667,141.3
Varanus,Australia,-20.650833,115.574167
Wilhelmshaven,Germany,53.511,8.1052
Cooper Island,USA,71.237123,-155.678019
Galapagos,Ecuador,-0.551343,-90.724111
Funk Island,Canada,49.756863,-53.181128
Coates Island,Canada,62.559501,-82.855251
Laskeek Bay,Canada,52.940525,-131.663917
"Machias Seal Island, Bay of Fundy",Canada,44.501778,-67.101399
Punta de la Banya,Spain,40.558584,0.661853
Great Barrier Reef,Australia,-17.583451,146.532236
Triangle,Canada,50.863815,-129.08201
South Africa,South Africa,-34.18327,22.157126
"Hawaii (Laysan, for example)",USA,25.766153,-171.733205
Skomer,"Wales, UK",51.736899,-5.293144
UK,UK,54.086632,-4.5911
Iceland,Iceland,64.912449,-18.259384
Peru,Peru,-11.301898,-77.649041